codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
16-01-1002-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Elim,"Diagonal 3, 11-04, Zona 2", 4477-9923,Patricio Najarro Asencio,Selvin Dario Rosales Aguirre,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-1005-46,16-031,Alta Verapaz,Coban,Liceo Chaab'Il B'E,8A. Avenida 4-39 Zona 4, 5696-9292,Patricio Najarro Asencio,Allan Noel Macz Chiquin,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Virtual A Distancia,Alta Verapaz
16-01-1008-46,16-031,Alta Verapaz,Coban,Colegio Hispanoamericano,9A. Avenida 2-22 Zona 1, 7773-8763,Patricio Najarro Asencio,Octavio Ismael Batz Choc,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-1009-46,16-031,Alta Verapaz,Coban,Colegio Bilingüe Bet-Luz,7A. Calle 11-233 Zona 6, 4537-9823,Patricio Najarro Asencio,Celeste Leticia Yat Macz,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-1174-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5A. Calle 1-06 Zona 3, 7951-0413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-1175-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5Ta. Calle 1-06 Zona 3, 7952-0414,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-1394-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,"Diagonal 3, 14-11 Zona 2", 7951-3896,Patricio Najarro Asencio,Edwin Armando Catún Caal,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-1469-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,2A. Calle 12-23 Zona 4, 7951-1459,Patricio Najarro Asencio,Daniel Bernardo Ramirez González,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-2156-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,5A. Calle 1-98 Zona 3, 5710-1061,Patricio Najarro Asencio,Farewell Luther Osorio,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-3041-46,16-005,Alta Verapaz,Coban,Instituto De Bachillerato Ads. Al Instituto Normal Mixto Del Norte Emilio Rosales Ponce,3Avenida 6-23 Zona 11, 7952-1468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-6190-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,7A. Calle 1-13 Zona 3, 7951-1103,Patricio Najarro Asencio,Jayron Ariel Coy Cacao,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-6191-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnológico En Informatica,2A. Calle 12-23 Zona 4, 7951-1459,Patricio Najarro Asencio,Jorge Salvador Juárez Sierra,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-8294-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,3A. Avenida 8-32 Barrio La Libertad Zona 10, 4974-5753,Patricio Najarro Asencio,Oscar Alfredo Molina Cú,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-01-8331-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,3A. Avenida 8-32 Barrio La Libertad Zona 10, 4974-5753,Patricio Najarro Asencio,Zoila Imena López Rodas,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-8335-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,12 Av. 2-12 Zona 1, 7954-5566,Patricio Najarro Asencio,Maria Magdalena Bol Cu,Diversificado,Privado,Rural,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-9067-46,16-005,Alta Verapaz,Coban,Escuela Normal De Educacion Fisica,Calzada Rabin Ajau Zona 11, 7952-3686,Nora Liliana Figueroa Hernández,Berta Maria Mendez Rodriguez,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-01-9095-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,2A. Calle 12-23 Zona 4, 7951-1459,Patricio Najarro Asencio,Daniel Bernardo Ramirez González,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-9102-46,16-031,Alta Verapaz,Coban,Colegio Mixto Evangelico Nazareno,6A. Calle 8-10 Zona 10 Cerrito El Caracol Cobán, 7951-1866,Patricio Najarro Asencio,Ana Maria Yat Coy,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-9544-46,16-031,Alta Verapaz,Coban,Colegio Bilingue De Infantes,3A. Calle 7-07 Zona 3, 3383-6377,Patricio Najarro Asencio,Nancy Johana Hengstenberg Delgado,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-9851-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,12Av. 2-12 Zona 1, 7952-1765,Patricio Najarro Asencio,Héctor Vidal Bol Cú,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-9897-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Verapaz,Km.209.5 Entrada A Coban, 7736-7402,Patricio Najarro Asencio,Jorge Edy Gutierrez Ponce,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-9958-46,16-031,Alta Verapaz,Coban,Liceo Dr. Ricardo Bressani,1A. Avenida 5-52 Zona 2, 7952-1920,Patricio Najarro Asencio,Belsy Claribel Santisteban Archila,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-02-0013-46,16-006,Alta Verapaz,Santa Cruz Verapaz,Instituto Nacional De Educacion Diversificada,Barrio Santa Elena, 5776-7683,Jorge Eduardo Paque Lázaro,Erik Roberto Cú Pop,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-02-0020-46,16-006,Alta Verapaz,Santa Cruz Verapaz,Liceo Santa Cruz,"Calle 3 De Mayo 2-67 Zona 2, Barrio Santo Tomas", 5016-1328,Jorge Eduardo Paque Lázaro,Augusto Alexander Rax Rodríguez,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-02-0055-46,16-006,Alta Verapaz,Santa Cruz Verapaz,Liceo Santa Cruz,"Calle 3 De Mayo 2-67, Barrio Santo Tomas", 4203-5694,Jorge Eduardo Paque Lázaro,Augusto Alexander Rax Rodríguez,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-03-0036-46,16-053,Alta Verapaz,San Cristobal Verapaz,Instituto Nacional De Educacion Diversificada,Barrio Chiyuc,,Leonardo Oxom Chen,Edy Rolando Jom Coy,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
